Fecha,PET
02/12/2008,34.5156
10/12/2008,37.753
18/12/2008,39.5889
26/12/2008,27.8196
01/01/2009,82.7436
09/01/2009,29.977
17/01/2009,36.9223
25/01/2009,42.5205
02/02/2009,40.1898
10/02/2009,48.7511
18/02/2009,46.1744
26/02/2009,56.3217
06/03/2009,53.0371
14/03/2009,50.5772
22/03/2009,59.3209
30/03/2009,65.4397
07/04/2009,62.5166
15/04/2009,58.9308
23/04/2009,62.9085
01/05/2009,66.2416
09/05/2009,49.719
17/05/2009,46.9907
25/05/2009,52.5485
02/06/2009,61.2414
10/06/2009,55.9587
18/06/2009,35.4336
26/06/2009,29.5214
04/07/2009,49.4738
12/07/2009,53.2795
20/07/2009,51.6697
28/07/2009,52.405
05/08/2009,48.2687
13/08/2009,51.0015
21/08/2009,46.1583
29/08/2009,35.1745
06/09/2009,27.6687
14/09/2009,37.1618
22/09/2009,40.5525
30/09/2009,51.5187
08/10/2009,42.3928
16/10/2009,36.028
24/10/2009,27.5716
01/11/2009,33.3459
09/11/2009,38.2675
17/11/2009,36.9266
25/11/2009,33.3738
03/12/2009,31.7269
11/12/2009,32.0559
19/12/2009,29.5628
27/12/2009,21.8695
01/01/2010,20.7229
09/01/2010,25.9333
17/01/2010,43.773
25/01/2010,33.9458
02/02/2010,35.2397
10/02/2010,36.1646
18/02/2010,41.1477
26/02/2010,50.4095
06/03/2010,52.9573
14/03/2010,53.9548
22/03/2010,59.9276
30/03/2010,59.4775
07/04/2010,56.1488
15/04/2010,58.404
23/04/2010,70.1858
01/05/2010,68.913
09/05/2010,59.8003
17/05/2010,59.8189
25/05/2010,60.3143
02/06/2010,62.4537
10/06/2010,44.4579
18/06/2010,51.4233
26/06/2010,39.2171
04/07/2010,29.1682
12/07/2010,44.3561
20/07/2010,32.7476
28/07/2010,50.2229
05/08/2010,41.3452
13/08/2010,36.8176
21/08/2010,36.5007
29/08/2010,34.0508
06/09/2010,36.3854
14/09/2010,35.9447
22/09/2010,44.224
30/09/2010,45.8978
08/10/2010,44.8162
16/10/2010,47.2797
