Fecha,Prec
2015-06-01,102.48601561299304
2015-07-01,104.79282935227188
2015-08-01,82.21787745283955
2015-09-01,103.92157655941413
2015-10-01,41.43667520684842
2015-11-01,16.114255868649753
2015-12-01,12.332372822419734
2016-01-01,13.477986020198014
2016-02-01,0.9085450807093509
2016-03-01,26.09606925259415
2016-04-01,41.94458561160771
2016-05-01,78.71354615243938
2016-06-01,141.8768646288537
2016-07-01,170.89071880411325
2016-08-01,137.12540175560216
2016-09-01,109.54927070103973
2016-10-01,27.935441171440537
2016-11-01,51.78185025659829
2016-12-01,2.797566715872151
2017-01-01,0.39145216807095873
2017-02-01,0.9392276064329557
2017-03-01,18.5850376120798
2017-04-01,23.848365688014983
2017-05-01,72.00881617694095
2017-06-01,103.15459276550212
2017-07-01,141.28206421673215
